nombre,tipos,generacion,categoria,habilidades,peso,altura,ps,ataque,defensa,ataque_s,defensa_s,velocidad,foto
Nuzleaf,"Tipo planta,Tipo siniestro",Tercera generación,Astuto,"Clorofila,Madrugar","28,0 kg","1,0 m",70,70,40,60,40,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4b/latest/20190407115336/Nuzleaf.png/200px-Nuzleaf.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4b/latest/20190407115336/Nuzleaf.png/200px-Nuzleaf.png"
Shiftry,"Tipo planta,Tipo siniestro",Tercera generación,Malvado,"Clorofila,Surcavientos","59,6 kg","1,3 m",90,100,60,90,60,80,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20190407125509/Shiftry.png/200px-Shiftry.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20190407125509/Shiftry.png/200px-Shiftry.png"
Taillow,"Tipo normal,Tipo volador",Tercera generación,Pequebuche,Agallas,"2,3 kg","0,3 m",40,55,30,30,30,85,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a3/latest/20170422203719/Taillow.png/200px-Taillow.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a3/latest/20170422203719/Taillow.png/200px-Taillow.png"
Swellow,"Tipo normal,Tipo volador",Tercera generación,Buche,Agallas,"19,8 kg","0,7 m",60,85,60,50,50,125,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/71/latest/20190407130058/Swellow.png/200px-Swellow.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/71/latest/20190407130058/Swellow.png/200px-Swellow.png"
Wingull,"Tipo agua,Tipo volador",Tercera generación,Gaviota,"Vista lince,Hidratación","9,5 kg","0,6 m",40,30,30,55,30,85,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/ff/latest/20151017012456/Wingull.png/200px-Wingull.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/ff/latest/20151017012456/Wingull.png/200px-Wingull.png"
Pelipper,"Tipo agua,Tipo volador",Tercera generación,Ave agua,"Vista lince,Llovizna","28,0 kg","1,2 m",60,50,100,95,70,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8a/latest/20190407130507/Pelipper.png/200px-Pelipper.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8a/latest/20190407130507/Pelipper.png/200px-Pelipper.png"
Ralts,"Tipo psíquico,Tipo hada",Tercera generación,Sensible,"Sincronía,Calco","6,6 kg","0,4 m",28,25,25,45,35,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e8/latest/20141214185208/Ralts.png/200px-Ralts.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e8/latest/20141214185208/Ralts.png/200px-Ralts.png"
Kirlia,"Tipo psíquico,Tipo hada",Tercera generación,Sensorio,"Sincronía,Calco","20,2 kg","0,8 m",38,35,35,65,55,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/25/latest/20141113231924/Kirlia.png/200px-Kirlia.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/25/latest/20141113231924/Kirlia.png/200px-Kirlia.png"
Gardevoir,"Tipo psíquico,Tipo hada",Tercera generación,Envolvente,"Sincronía,Calco","48,4 kg","1,6 m",68,65,65,125,115,80,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/28/latest/20160309224927/Gardevoir.png/200px-Gardevoir.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/28/latest/20160309224927/Gardevoir.png/200px-Gardevoir.png"
Surskit,"Tipo bicho,Tipo agua",Tercera generación,Zapatero,Nado rápido,"1,7 kg","0,5 m",40,30,32,50,52,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9f/latest/20230628040450/Surskit.png/200px-Surskit.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9f/latest/20230628040450/Surskit.png/200px-Surskit.png"
Masquerain,"Tipo bicho,Tipo volador",Tercera generación,Globocular,Intimidación,"3,6 kg","0,8 m",70,60,62,80,82,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/43/latest/20190407131007/Masquerain.png/200px-Masquerain.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/43/latest/20190407131007/Masquerain.png/200px-Masquerain.png"
Shroomish,Tipo planta,Tercera generación,Hongo,"Efecto espora,Antídoto (habilidad)","4,5 kg","0,4 m",60,40,60,40,60,35,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/45/latest/20230706064506/Shroomish.png/200px-Shroomish.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/45/latest/20230706064506/Shroomish.png/200px-Shroomish.png"
Breloom,"Tipo planta,Tipo lucha",Tercera generación,Hongo,"Efecto espora,Antídoto (habilidad)","39,2 kg","1,2 m",60,130,80,60,60,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/39/latest/20230717202414/Breloom.png/200px-Breloom.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/39/latest/20230717202414/Breloom.png/200px-Breloom.png"
Slakoth,Tipo normal,Tercera generación,Gandul,Pereza,"24,0 kg","0,8 m",60,60,60,35,35,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e3/latest/20190407140208/Slakoth.png/200px-Slakoth.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e3/latest/20190407140208/Slakoth.png/200px-Slakoth.png"
Vigoroth,Tipo normal,Tercera generación,Mono feroz,Espíritu vital,"46,5 kg","1,4 m",80,80,80,55,55,90,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/6d/latest/20190407140840/Vigoroth.png/200px-Vigoroth.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/6d/latest/20190407140840/Vigoroth.png/200px-Vigoroth.png"
Slaking,Tipo normal,Tercera generación,Holgazán,Pereza,"130,5 kg","2,0 m",150,160,100,95,65,100,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1c/latest/20190407143805/Slaking.png/200px-Slaking.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1c/latest/20190407143805/Slaking.png/200px-Slaking.png"
Nincada,"Tipo bicho,Tipo tierra",Tercera generación,Aprendiz,Ojo compuesto,"5,5 kg","0,5 m",31,45,90,30,30,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8e/latest/20230627210550/Nincada.png/200px-Nincada.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8e/latest/20230627210550/Nincada.png/200px-Nincada.png"
Ninjask,"Tipo bicho,Tipo volador",Tercera generación,Ninja,Impulso,"12,0 kg","0,8 m",61,90,45,50,50,160,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d1/latest/20190407151048/Ninjask.png/200px-Ninjask.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d1/latest/20190407151048/Ninjask.png/200px-Ninjask.png"
Shedinja,"Tipo bicho,Tipo fantasma",Tercera generación,Muda,Superguarda,"1,2 kg","0,8 m",1,90,45,30,30,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f4/latest/20200411224205/Shedinja.png/200px-Shedinja.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f4/latest/20200411224205/Shedinja.png/200px-Shedinja.png"
Whismur,Tipo normal,Tercera generación,Susurro,Insonorizar,"16,3 kg","0,6 m",64,51,23,51,23,28,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f4/latest/20141113220800/Whismur.png/200px-Whismur.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f4/latest/20141113220800/Whismur.png/200px-Whismur.png"
Loudred,Tipo normal,Tercera generación,Chillón,Insonorizar,"40,5 kg","1,0 m",84,71,43,71,43,48,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1e/latest/20190407153613/Loudred.png/200px-Loudred.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1e/latest/20190407153613/Loudred.png/200px-Loudred.png"
Exploud,Tipo normal,Tercera generación,Escandaloso,Insonorizar,"84,0 kg","1,5 m",104,91,63,91,73,68,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/21/latest/20190407155509/Exploud.png/200px-Exploud.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/21/latest/20190407155509/Exploud.png/200px-Exploud.png"
Makuhita,Tipo lucha,Tercera generación,Valiente,"Sebo,Agallas","86,4 kg","1,0 m",72,60,30,20,30,25,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d1/latest/20190407160030/Makuhita.png/200px-Makuhita.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d1/latest/20190407160030/Makuhita.png/200px-Makuhita.png"
Hariyama,Tipo lucha,Tercera generación,Empuje,"Sebo,Agallas","253,8 kg","2,3 m",144,120,60,40,60,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/cb/latest/20190407161319/Hariyama.png/200px-Hariyama.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/cb/latest/20190407161319/Hariyama.png/200px-Hariyama.png"
Azurill,"Tipo normal,Tipo hada",Tercera generación,A topos,"Sebo,Potencia","2,0 kg","0,2 m",50,20,40,20,40,20,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/ca/latest/20160830194037/Azurill.png/200px-Azurill.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/ca/latest/20160830194037/Azurill.png/200px-Azurill.png"
Nosepass,Tipo roca,Tercera generación,Brújula,"Imán (habilidad),Robustez","97,0 kg","1,0 m",30,45,135,45,90,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/52/latest/20190407233316/Nosepass.png/200px-Nosepass.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/52/latest/20190407233316/Nosepass.png/200px-Nosepass.png"
Skitty,Tipo normal,Tercera generación,Gatito,"Gran encanto,Normalidad","11,0 kg","0,6 m",50,45,45,35,35,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f0/latest/20200720150252/Skitty.png/200px-Skitty.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f0/latest/20200720150252/Skitty.png/200px-Skitty.png"
Delcatty,Tipo normal,Tercera generación,Cursi,"Gran encanto,Normalidad","32,6 kg","1,1 m",70,65,65,55,55,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3e/latest/20190407233651/Delcatty.png/200px-Delcatty.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3e/latest/20190407233651/Delcatty.png/200px-Delcatty.png"
Sableye,"Tipo siniestro,Tipo fantasma",Tercera generación,Oscuridad,"Vista lince,Rezagado","11,0 kg","0,5 m",50,75,75,65,65,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20200725113557/Sableye.png/200px-Sableye.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20200725113557/Sableye.png/200px-Sableye.png"
Mawile,"Tipo acero,Tipo hada",Tercera generación,Tramposo,"Intimidación,Corte fuerte","11,5 kg","0,6 m",50,85,85,55,55,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/bd/latest/20150301011351/Mawile.png/200px-Mawile.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/bd/latest/20150301011351/Mawile.png/200px-Mawile.png"
Aron,"Tipo acero,Tipo roca",Tercera generación,Coraza Férrea,"Robustez,Cabeza roca","60,0 kg","0,4 m",50,70,100,40,40,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/30/latest/20190408204335/Aron.png/200px-Aron.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/30/latest/20190408204335/Aron.png/200px-Aron.png"
Lairon,"Tipo acero,Tipo roca",Tercera generación,Coraza Férrea,"Robustez,Cabeza roca","120,0 kg","0,9 m",60,90,140,50,50,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a4/latest/20190408204738/Lairon.png/200px-Lairon.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a4/latest/20190408204738/Lairon.png/200px-Lairon.png"
Aggron,"Tipo acero,Tipo roca",Tercera generación,Coraza Férrea,"Robustez,Cabeza roca","360,0 kg","2,1 m",70,110,180,60,60,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1e/latest/20200720151004/Aggron.png/200px-Aggron.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1e/latest/20200720151004/Aggron.png/200px-Aggron.png"
Meditite,"Tipo lucha,Tipo psíquico",Tercera generación,Meditador,Energía pura,"11,2 kg","0,6 m",30,40,55,40,55,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/28/latest/20190408210544/Meditite.png/200px-Meditite.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/28/latest/20190408210544/Meditite.png/200px-Meditite.png"
Medicham,"Tipo lucha,Tipo psíquico",Tercera generación,Meditador,Energía pura,"31,5 kg","1,3 m",60,60,75,60,75,80,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/be/latest/20190408210939/Medicham.png/200px-Medicham.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/be/latest/20190408210939/Medicham.png/200px-Medicham.png"
Electrike,Tipo eléctrico,Tercera generación,Calambre,"Electricidad estática,Pararrayos","15,2 kg","0,6 m",40,45,40,65,40,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/07/latest/20190407231107/Electrike.png/200px-Electrike.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/07/latest/20190407231107/Electrike.png/200px-Electrike.png"
Manectric,Tipo eléctrico,Tercera generación,Descarga,"Electricidad estática,Pararrayos","40,2 kg","1,5 m",70,75,60,105,60,105,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/37/latest/20190407230848/Manectric.png/200px-Manectric.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/37/latest/20190407230848/Manectric.png/200px-Manectric.png"
Plusle,Tipo eléctrico,Tercera generación,Ánimo,Más,"4,2 kg","0,4 m",60,50,40,85,75,95,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b0/latest/20150317214730/Plusle.png/200px-Plusle.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b0/latest/20150317214730/Plusle.png/200px-Plusle.png"
Minun,Tipo eléctrico,Tercera generación,Ánimo,Menos,"4,2 kg","0,4 m",60,40,50,75,85,95,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f5/latest/20200720151401/Minun.png/200px-Minun.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f5/latest/20200720151401/Minun.png/200px-Minun.png"
Volbeat,Tipo bicho,Tercera generación,Luciérnaga,"Enjambre,Iluminación","17,7 kg","0,7 m",65,73,75,47,85,85,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3a/latest/20200720151539/Volbeat.png/200px-Volbeat.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3a/latest/20200720151539/Volbeat.png/200px-Volbeat.png"
Illumise,Tipo bicho,Tercera generación,Luciérnaga,"Despiste,Cromolente","17,7 kg","0,6 m",65,47,75,73,85,85,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ea/latest/20190416194036/Illumise.png/200px-Illumise.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ea/latest/20190416194036/Illumise.png/200px-Illumise.png"
Roselia,"Tipo planta,Tipo veneno",Tercera generación,Espina,"Cura natural,Punto tóxico","2,0 kg","0,3 m",50,60,45,100,80,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f9/latest/20190416194532/Roselia.png/200px-Roselia.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f9/latest/20190416194532/Roselia.png/200px-Roselia.png"
Gulpin,Tipo veneno,Tercera generación,Estómago,"Viscosecreción,Viscosidad","10,3 kg","0,4 m",70,43,53,43,53,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/31/latest/20151017155325/Gulpin.png/200px-Gulpin.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/31/latest/20151017155325/Gulpin.png/200px-Gulpin.png"
Swalot,Tipo veneno,Tercera generación,Bolsa Veneno,"Viscosecreción,Viscosidad","80,0 kg","1,7 m",100,73,83,73,83,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/48/latest/20190416194911/Swalot.png/200px-Swalot.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/48/latest/20190416194911/Swalot.png/200px-Swalot.png"
Carvanha,"Tipo agua,Tipo siniestro",Tercera generación,Feroz,Piel tosca,"20,8 kg","0,8 m",45,90,20,65,20,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/fe/latest/20230717202412/Carvanha.png/200px-Carvanha.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/fe/latest/20230717202412/Carvanha.png/200px-Carvanha.png"
Sharpedo,"Tipo agua,Tipo siniestro",Tercera generación,Voraz,Piel tosca,"88,8 kg","1,8 m",70,120,40,95,40,95,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b0/latest/20141214185015/Sharpedo.png/200px-Sharpedo.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b0/latest/20141214185015/Sharpedo.png/200px-Sharpedo.png"
Wailmer,Tipo agua,Tercera generación,Ballena bola,"Velo agua,Despiste","130,0 kg","2,0 m",130,70,35,70,35,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/30/latest/20190416212311/Wailmer.png/200px-Wailmer.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/30/latest/20190416212311/Wailmer.png/200px-Wailmer.png"
Wailord,Tipo agua,Tercera generación,Ballenaflot,"Velo agua,Despiste","398,0 kg","14,5 m",170,90,45,90,45,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/89/latest/20190416212845/Wailord.png/200px-Wailord.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/89/latest/20190416212845/Wailord.png/200px-Wailord.png"
Numel,"Tipo fuego,Tipo tierra",Tercera generación,Torpe,"Despiste,Simple","24,0 kg","0,7 m",60,60,40,65,45,35,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/10/latest/20190417212244/Numel.png/200px-Numel.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/10/latest/20190417212244/Numel.png/200px-Numel.png"
Camerupt,"Tipo fuego,Tipo tierra",Tercera generación,Erupción,"Escudo magma,Roca sólida","220,0 kg","1,9 m",70,100,70,105,75,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a6/latest/20141123211029/Camerupt.png/200px-Camerupt.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a6/latest/20141123211029/Camerupt.png/200px-Camerupt.png"
Torkoal,Tipo fuego,Tercera generación,Carbón,"Humo blanco,Sequía","80,4 kg","0,5 m",70,85,140,85,70,20,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/63/latest/20190426174302/Torkoal.png/200px-Torkoal.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/63/latest/20190426174302/Torkoal.png/200px-Torkoal.png"
Spoink,Tipo psíquico,Tercera generación,Saltarín,"Ritmo propio,Sebo","30,6 kg","0,7 m",60,25,35,70,80,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/85/latest/20160625152323/Spoink.png/200px-Spoink.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/85/latest/20160625152323/Spoink.png/200px-Spoink.png"
Grumpig,Tipo psíquico,Tercera generación,Manipulador,"Sebo,Ritmo propio","71,5 kg","0,9 m",80,45,65,90,110,80,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/46/latest/20190427161848/Grumpig.png/200px-Grumpig.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/46/latest/20190427161848/Grumpig.png/200px-Grumpig.png"
Spinda,Tipo normal,Tercera generación,Panda topos,"Ritmo propio,Tumbos","5,0 kg","1,1 m",60,60,60,60,60,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3b/latest/20190427162442/Spinda.png/200px-Spinda.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3b/latest/20190427162442/Spinda.png/200px-Spinda.png"
Trapinch,Tipo tierra,Tercera generación,Hormiga León,"Corte fuerte,Trampa arena","15,0 kg","0,7 m",45,100,45,45,45,10,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e7/latest/20190407230206/Trapinch.png/200px-Trapinch.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e7/latest/20190407230206/Trapinch.png/200px-Trapinch.png"
Vibrava,"Tipo tierra,Tipo dragón",Tercera generación,Vibrante,Levitación,"15,3 kg","1,1 m",50,70,50,50,50,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/13/latest/20190407225913/Vibrava.png/200px-Vibrava.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/13/latest/20190407225913/Vibrava.png/200px-Vibrava.png"
Flygon,"Tipo tierra,Tipo dragón",Tercera generación,Místico,Levitación,"82,0 kg","2,0 m",80,100,80,80,80,100,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/72/latest/20190407145657/Flygon.png/200px-Flygon.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/72/latest/20190407145657/Flygon.png/200px-Flygon.png"
Cacnea,Tipo planta,Tercera generación,Cactus,Velo arena,"51,3 kg","0,4 m",50,85,40,85,40,35,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/14/latest/20230628041521/Cacnea.png/200px-Cacnea.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/14/latest/20230628041521/Cacnea.png/200px-Cacnea.png"
Cacturne,"Tipo planta,Tipo siniestro",Tercera generación,Espantajo,Velo arena,"77,4 kg","1,3 m",70,115,60,115,60,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ec/latest/20230717202415/Cacturne.png/200px-Cacturne.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ec/latest/20230717202415/Cacturne.png/200px-Cacturne.png"
Swablu,"Tipo normal,Tipo volador",Tercera generación,Ave algodón,Cura natural,"1,2 kg","0,4 m",45,40,60,40,75,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2b/latest/20230628040518/Swablu.png/200px-Swablu.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2b/latest/20230628040518/Swablu.png/200px-Swablu.png"
Altaria,"Tipo dragón,Tipo volador",Tercera generación,Cantor,Cura natural,"20,6 kg","1,1 m",75,70,90,70,105,80,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/24/latest/20141102005820/Altaria.png/200px-Altaria.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/24/latest/20141102005820/Altaria.png/200px-Altaria.png"
Zangoose,Tipo normal,Tercera generación,Gato hurón,Inmunidad,"40,3 kg","1,3 m",73,115,60,60,60,90,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b3/latest/20230628040547/Zangoose.png/200px-Zangoose.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b3/latest/20230628040547/Zangoose.png/200px-Zangoose.png"
Seviper,Tipo veneno,Tercera generación,Colmillos,Mudar,"52,5 kg","2,7 m",73,100,60,100,60,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7e/latest/20230628040621/Seviper.png/200px-Seviper.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7e/latest/20230628040621/Seviper.png/200px-Seviper.png"
Lunatone,"Tipo roca,Tipo psíquico",Tercera generación,Meteorito,Levitación,"168,0 kg","1,0 m",90,55,65,95,85,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20230628040648/Lunatone.png/200px-Lunatone.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20230628040648/Lunatone.png/200px-Lunatone.png"
Solrock,"Tipo roca,Tipo psíquico",Tercera generación,Meteorito,Levitación,"154,0 kg","1,2 m",90,95,85,55,65,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5f/latest/20230628040706/Solrock.png/200px-Solrock.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5f/latest/20230628040706/Solrock.png/200px-Solrock.png"
Barboach,"Tipo agua,Tipo tierra",Tercera generación,Bigotudo,"Despiste,Anticipación","1,9 kg","0,4 m",50,48,43,46,41,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f3/latest/20230717202544/Barboach.png/200px-Barboach.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f3/latest/20230717202544/Barboach.png/200px-Barboach.png"
Whiscash,"Tipo agua,Tipo tierra",Tercera generación,Bigotudo,"Despiste,Anticipación","23,6 kg","0,9 m",110,78,73,76,71,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9a/latest/20230628040747/Whiscash.png/200px-Whiscash.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9a/latest/20230628040747/Whiscash.png/200px-Whiscash.png"
Corphish,Tipo agua,Tercera generación,Rufián,"Corte fuerte,Caparazón","11,5 kg","0,6 m",43,80,65,50,35,35,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/56/latest/20230716212537/Corphish.png/200px-Corphish.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/56/latest/20230716212537/Corphish.png/200px-Corphish.png"
Crawdaunt,"Tipo agua,Tipo siniestro",Tercera generación,Granuja,"Caparazón,Corte fuerte","32,8 kg","1,1 m",63,120,85,90,55,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ed/latest/20230521041744/Crawdaunt.png/200px-Crawdaunt.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ed/latest/20230521041744/Crawdaunt.png/200px-Crawdaunt.png"
Baltoy,"Tipo tierra,Tipo psíquico",Tercera generación,Muñeca Barro,Levitación,"21,5 kg","0,5 m",40,40,55,40,70,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/fa/latest/20230717202601/Baltoy.png/200px-Baltoy.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/fa/latest/20230717202601/Baltoy.png/200px-Baltoy.png"
Claydol,"Tipo tierra,Tipo psíquico",Tercera generación,Muñeca Barro,Levitación,"108,0 kg","1,5 m",60,70,105,70,120,75,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ec/latest/20230717202614/Claydol.png/200px-Claydol.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ec/latest/20230717202614/Claydol.png/200px-Claydol.png"
Lileep,"Tipo roca,Tipo planta",Tercera generación,Lirio de Mar,Ventosas,"23,8 kg","1,0 m",66,41,77,61,87,23,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/6e/latest/20210927194445/Lileep.png/200px-Lileep.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/6e/latest/20210927194445/Lileep.png/200px-Lileep.png"
Cradily,"Tipo roca,Tipo planta",Tercera generación,Percebe,Ventosas,"60,4 kg","1,5 m",86,81,97,81,107,43,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2b/latest/20160625152622/Cradily.png/200px-Cradily.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2b/latest/20160625152622/Cradily.png/200px-Cradily.png"
